Indicator,Geographic area,2023/01,2023/02,2023/03,2023/04,2024/01,2024/02,2024/03,2024/04
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,15 México,3117931,3111824,2954374,2993496,3446644,3191715,3260773,3226760
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,16 Michoacán de Ocampo,786410,767475,791015,796555,962575,966205,879893,840179
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,17 Morelos,263082,257244,228928,235450,277379,282057,285658,295578
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,18 Nayarit,191961,183461,176243,172748,221301,203507,198075,201625
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,19 Nuevo León,523886,523907,516715,517787,637626,623999,554538,492653
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,20 Oaxaca,895957,855871,834811,822974,870422,862620,885356,759275
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,21 Puebla,1310602,1272569,1262324,1254465,1530014,1507848,1519115,1439691
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,22 Querétaro,269024,263003,255655,254983,327203,286728,293542,283251
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,23 Quintana Roo,283043,288040,254532,257866,314648,326994,302536,294760
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,24 San Luis Potosí,430810,420448,443504,402274,493870,492372,498768,453315
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,25 Sinaloa,342637,344779,343667,348338,473350,462249,414307,389442
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,26 Sonora,433536,412602,361079,347233,487155,450352,431383,394992
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,27 Tabasco,454588,436733,428778,422461,509016,495422,472875,499773
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,28 Tamaulipas,755017,769911,705444,654971,842182,793427,793560,786491
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,29 Tlaxcala,321969,307907,307899,294186,347260,344793,339192,332082
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,30 Veracruz de Ignacio de la Llave,1567055,1532270,1455083,1636538,1811032,1684115,1769846,1708544
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,31 Yucatán,483654,478556,444397,468499,536989,526096,525166,495642
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over (Number of people) Quarterly  /a /f1,32 Zacatecas,240961,246491,222089,221708,280453,278935,278252,250788
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,00 Estados Unidos Mexicanos,10457979,10106829,9682092,9606300,11975606,11413783,11404448,10775573
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,01 Aguascalientes,50819,42270,44925,39531,66488,53380,52509,55274
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,02 Baja California,250233,227945,190759,201507,291819,275483,256750,256883
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,03 Baja California Sur,39327,41518,42198,35344,47946,45805,49097,37289
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,04 Campeche,100930,99413,92096,85937,108718,102508,102766,98107
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,05 Coahuila de Zaragoza,181804,175138,155159,157941,223774,218014,192020,219263
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,06 Colima,34237,31609,32930,27059,37988,34678,35850,30722
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,07 Chiapas,786055,778449,782133,774419,895885,860311,862053,861235
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,08 Chihuahua,282752,285892,264577,248269,341127,298509,273987,272537
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,09 Ciudad de México,828878,760101,770012,736770,811010,772400,832320,728020
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,10 Durango,160397,138673,137123,128146,170370,162167,158598,149797
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,11 Guanajuato,438884,389642,393614,420565,501254,507479,513313,497709
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,12 Guerrero,297849,272647,300889,247547,331114,267650,253070,285508
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,13 Hidalgo,313598,294312,327576,290884,338271,338464,336481,291975
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,14 Jalisco,341870,301252,270998,244252,372088,377004,400605,284781
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,15 México,1593199,1581535,1437983,1454921,1816762,1726322,1766294,1741192
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,16 Michoacán de Ocampo,357552,359341,382634,387303,454677,468594,449559,415608
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,17 Morelos,106566,114149,100303,102899,121304,122707,132889,137777
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,18 Nayarit,89373,79709,78277,77146,104655,89190,90080,91507
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,19 Nuevo León,235319,229241,239882,232309,305560,283058,267024,227332
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,20 Oaxaca,426348,434909,408757,426583,460518,441195,443778,361189
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,21 Puebla,677031,652190,624673,627303,825615,799681,795282,718011
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,22 Querétaro,112859,104069,103362,104368,136072,121599,125965,116715
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,23 Quintana Roo,134029,138078,117503,115745,154143,154897,148662,137798
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,24 San Luis Potosí,221609,213318,222870,198406,243158,245855,257898,242460
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,25 Sinaloa,146866,149893,139111,153676,215874,200849,188124,168481
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,26 Sonora,223940,197129,173466,163434,231807,200523,202716,185388
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,27 Tabasco,250644,240679,229580,230309,291948,287883,282047,279593
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,28 Tamaulipas,404521,417232,367225,329871,450626,419027,410027,399508
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,29 Tlaxcala,167122,153879,156039,149804,179839,176802,178705,163865
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,30 Veracruz de Ignacio de la Llave,859186,865100,783624,894255,1042572,970297,941754,948537
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,31 Yucatán,219441,210706,197779,204957,248933,242016,250630,231132
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  men (Number of people) Quarterly  /a /f1,32 Zacatecas,124741,126811,114035,114840,153691,149436,153595,140380
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,00 Estados Unidos Mexicanos,10513593,10261600,9999300,9942014,11417269,11174670,10862160,10669720
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,01 Aguascalientes,73022,65180,66259,56368,82764,73340,65798,71109
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,02 Baja California,261741,257504,226091,231381,295325,280097,275024,248380
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,03 Baja California Sur,50094,53370,47832,44561,57729,56599,50059,50975
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,04 Campeche,89251,84983,81741,85523,99837,90910,86380,83691
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,05 Coahuila de Zaragoza,203938,191508,170165,180924,218330,218247,218017,215372
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,06 Colima,61041,59960,55858,52491,65403,63190,57997,55116
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,07 Chiapas,446721,437260,414229,402795,467821,475611,422906,441051
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,08 Chihuahua,267559,261283,243675,247865,321372,312722,290529,296410
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,09 Ciudad de México,870218,869243,859047,778804,917283,906583,897780,875026
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,10 Durango,140781,141251,135952,151054,178450,171374,174044,164706
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,11 Guanajuato,486267,432968,446784,448165,531930,580759,549546,584873
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,12 Guerrero,354211,350590,338870,367394,376767,337299,309137,338212
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,13 Hidalgo,313728,323483,337302,311450,317063,362679,312489,334473
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,14 Jalisco,573244,527894,466061,448836,555830,565757,534648,471958
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,15 México,1524732,1530289,1516391,1538575,1629882,1465393,1494479,1485568
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,16 Michoacán de Ocampo,428858,408134,408381,409252,507898,497611,430334,424571
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,17 Morelos,156516,143095,128625,132551,156075,159350,152769,157801
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,18 Nayarit,102588,103752,97966,95602,116646,114317,107995,110118
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,19 Nuevo León,288567,294666,276833,285478,332066,340941,287514,265321
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,20 Oaxaca,469609,420962,426054,396391,409904,421425,441578,398086
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,21 Puebla,633571,620379,637651,627162,704399,708167,723833,721680
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,22 Querétaro,156165,158934,152293,150615,191131,165129,167577,166536
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,23 Quintana Roo,149014,149962,137029,142121,160505,172097,153874,156962
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,24 San Luis Potosí,209201,207130,220634,203868,250712,246517,240870,210855
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,25 Sinaloa,195771,194886,204556,194662,257476,261400,226183,220961
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,26 Sonora,209596,215473,187613,183799,255348,249829,228667,209604
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,27 Tabasco,203944,196054,199198,192152,217068,207539,190828,220180
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,28 Tamaulipas,350496,352679,338219,325100,391556,374400,383533,386983
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,29 Tlaxcala,154847,154028,151860,144382,167421,167991,160487,168217
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,30 Veracruz de Ignacio de la Llave,707869,667170,671459,742283,768460,713818,828092,760007
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,31 Yucatán,264213,267850,246618,263542,288056,284080,274536,264510
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes of a minimum wage-15 years and over  women (Number of people) Quarterly  /a /f1,32 Zacatecas,116220,119680,108054,106868,126762,129499,124657,110408
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,00 Estados Unidos Mexicanos,19776708,20018022,19948701,20517264,18363728,18841833,19075031,18865549
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,01 Aguascalientes,211890,199313,198746,191487,185490,190335,185585,187329
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,02 Baja California,672837,689939,736201,680113,558077,589561,664217,642730
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,03 Baja California Sur,165039,160683,158454,161837,172191,182836,179649,190883
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,04 Campeche,138442,142224,148661,157264,138576,142470,143832,151678
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,05 Coahuila de Zaragoza,681612,715819,671996,705082,647284,677517,688884,682302
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,06 Colima,144751,133715,142276,146663,139321,138755,141026,138128
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,07 Chiapas,428349,451697,463255,531508,450348,465934,476528,487718
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,08 Chihuahua,666435,695466,726238,743267,615469,672493,700554,694920
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,09 Ciudad de México,1411337,1429098,1377613,1504692,1409195,1305783,1429261,1523718
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,10 Durango,331655,355509,341363,361444,314893,342441,346555,350554
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,11 Guanajuato,975881,996017,929004,964658,827232,823759,877580,850366
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,12 Guerrero,399732,419705,375579,392975,401676,446759,396803,363598
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,13 Hidalgo,432469,421318,422860,422901,317957,332106,375133,421005
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,14 Jalisco,1877430,1908094,1762230,1858108,1805415,1754865,1723507,1728764
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,15 México,2682633,2702783,2823926,2907969,2403933,2612383,2483483,2398058
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,16 Michoacán de Ocampo,881981,860590,876249,837715,766123,766281,748336,736733
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,17 Morelos,213609,221775,204999,220411,183198,172746,189877,164125
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,18 Nayarit,239905,235428,256025,273572,265170,265688,259295,246077
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,19 Nuevo León,1214616,1191353,1200904,1136176,1228278,1213852,1203960,1237831
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,20 Oaxaca,422066,386265,439829,443126,342183,387496,353491,370815
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,21 Puebla,865917,924928,926245,967063,774172,825234,852815,810827
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,22 Querétaro,356835,333102,314885,328092,304943,313351,337614,320994
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,23 Quintana Roo,419638,419143,390592,401805,387728,366741,407489,376485
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,24 San Luis Potosí,417694,422131,417355,426434,406327,408778,385902,334068
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,25 Sinaloa,580400,579433,585496,575431,555057,543481,540054,576365
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,26 Sonora,491820,538948,510764,542170,472180,505385,498761,497126
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,27 Tabasco,320508,313693,329229,320402,307396,290506,296382,305260
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,28 Tamaulipas,504280,540349,558636,605929,457653,492844,506456,494749
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,29 Tlaxcala,167577,180483,169776,180884,150593,168976,171318,171437
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,30 Veracruz de Ignacio de la Llave,868529,845695,867702,916265,808350,828855,883752,813077
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,31 Yucatán,408124,412816,421180,416895,396207,424619,434487,409651
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,32 Zacatecas,182717,190510,200433,194926,171113,189003,192445,188178
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,00 Estados Unidos Mexicanos,13008410,12964107,12871486,13135238,12117209,12354237,12463937,12122880
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,01 Aguascalientes,135492,127168,122655,116959,119059,123838,116389,115107
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,02 Baja California,431818,446494,454030,439003,364367,384407,437293,408483
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,03 Baja California Sur,94508,92380,89265,91122,97374,104301,100625,109452
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,04 Campeche,96880,99871,102458,107930,94199,100046,100091,100808
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,05 Coahuila de Zaragoza,435455,438713,418389,425870,421237,436032,438553,423430
